userId,Genres_and_Movies,Movies
1,"['Action,Adventure']","[[{'movieId': 1049, 'title': 'Ghost and the Darkness, The (1996)', 'imdbId': 116409, 'tmdbId': 10586}, {'movieId': 1198, 'title': 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'imdbId': 82971, 'tmdbId': 85}, {'movieId': 1291, 'title': 'Indiana Jones and the Last Crusade (1989)', 'imdbId': 97576, 'tmdbId': 89}]]"
2,"['Action,Adventure,Sci-Fi,Thriller']","[[{'movieId': 122882, 'title': 'Mad Max: Fury Road (2015)', 'imdbId': 1392190, 'tmdbId': 76341}]]"
3,"['Action,Adventure,Sci-Fi,Thriller']","[[{'movieId': 849, 'title': 'Escape from L.A. (1996)', 'imdbId': 116225, 'tmdbId': 10061}, {'movieId': 3703, 'title': 'Road Warrior, The (Mad Max 2) (1981)', 'imdbId': 82694, 'tmdbId': 8810}]]"
4,"['Action,Adventure,Comedy,Fantasy,Romance']","[[{'movieId': 1197, 'title': 'Princess Bride, The (1987)', 'imdbId': 93779, 'tmdbId': 2493}]]"
5,"['Adventure,Drama,Western']","[[{'movieId': 590, 'title': 'Dances with Wolves (1990)', 'imdbId': 99348, 'tmdbId': 581}]]"
6,"['Action,Adventure,Drama']","[[{'movieId': 86, 'title': 'White Squall (1996)', 'imdbId': 118158, 'tmdbId': 10534}]]"
7,"['Action,Comedy,War']","[[{'movieId': 466, 'title': 'Hot Shots! Part Deux (1993)', 'imdbId': 107144, 'tmdbId': 9255}]]"
8,"['Action,Adventure,Comedy,Romance,Thriller']","[[{'movieId': 380, 'title': 'True Lies (1994)', 'imdbId': 111503, 'tmdbId': 36955}]]"
9,"['Action,Adventure']","[[{'movieId': 1198, 'title': 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'imdbId': 82971, 'tmdbId': 85}]]"
10,"['Action,Adventure,Crime']","[[{'movieId': 136020, 'title': 'Spectre (2015)', 'imdbId': 2379713, 'tmdbId': 206647}]]"
11,"['Action,Drama,War']","[[{'movieId': 110, 'title': 'Braveheart (1995)', 'imdbId': 112573, 'tmdbId': 197}, {'movieId': 2028, 'title': 'Saving Private Ryan (1998)', 'imdbId': 120815, 'tmdbId': 857}]]"
12,"['Action,Drama,Romance']","[[{'movieId': 168, 'title': 'First Knight (1995)', 'imdbId': 113071, 'tmdbId': 6520}]]"
13,"['Action,Adventure']","[[{'movieId': 1198, 'title': 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'imdbId': 82971, 'tmdbId': 85}]]"
14,"['Action,Drama,War']","[[{'movieId': 110, 'title': 'Braveheart (1995)', 'imdbId': 112573, 'tmdbId': 197}]]"
15,"['Action,Adventure,Drama']","[[{'movieId': 3578, 'title': 'Gladiator (2000)', 'imdbId': 172495, 'tmdbId': 98}]]"
16,"['Fantasy,Sci-Fi']","[[{'movieId': 1199, 'title': 'Brazil (1985)', 'imdbId': 88846, 'tmdbId': 68}]]"
17,"['Action,Adventure,Animation,Children,Fantasy,Sci-Fi']","[[{'movieId': 6350, 'title': 'Laputa: Castle in the Sky (Tenkû no shiro Rapyuta) (1986)', 'imdbId': 92067, 'tmdbId': 10515}]]"
18,"['Action,Adventure,Western']","[[{'movieId': 1201, 'title': 'Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)', 'imdbId': 60196, 'tmdbId': 429}]]"
19,"['Action,Adventure,Comedy,Fantasy,Romance']","[[{'movieId': 1197, 'title': 'Princess Bride, The (1987)', 'imdbId': 93779, 'tmdbId': 2493}]]"
20,"['Action,Adventure,Children,Comedy,Fantasy']","[[{'movieId': 2005, 'title': 'Goonies, The (1985)', 'imdbId': 89218, 'tmdbId': 9340}]]"
21,"['Adventure,Comedy,Sci-Fi,Thriller']","[[{'movieId': 47997, 'title': 'Idiocracy (2006)', 'imdbId': 387808, 'tmdbId': 7512}]]"
22,"['Action,Adventure,Thriller']","[[{'movieId': 49272, 'title': 'Casino Royale (2006)', 'imdbId': 381061, 'tmdbId': 36557}]]"
23,"['Action,Sci-Fi,Thriller']","[[{'movieId': 541, 'title': 'Blade Runner (1982)', 'imdbId': 83658, 'tmdbId': 78}]]"
24,"['Action,Adventure']","[[{'movieId': 1198, 'title': 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'imdbId': 82971, 'tmdbId': 85}]]"
25,"['Action,Adventure']","[[{'movieId': 1198, 'title': 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'imdbId': 82971, 'tmdbId': 85}]]"
26,"['Comedy,Crime,Drama,Thriller']","[[{'movieId': 296, 'title': 'Pulp Fiction (1994)', 'imdbId': 110912, 'tmdbId': 680}]]"
27,"['Action,Adventure']","[[{'movieId': 1198, 'title': 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'imdbId': 82971, 'tmdbId': 85}]]"
28,"['Drama,Fantasy,Sci-Fi']","[[{'movieId': 7842, 'title': 'Dune (2000)', 'imdbId': 142032, 'tmdbId': 876}]]"
29,"['Action,Adventure,Drama']","[[{'movieId': 3578, 'title': 'Gladiator (2000)', 'imdbId': 172495, 'tmdbId': 98}]]"
30,"['Action,Adventure']","[[{'movieId': 1198, 'title': 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'imdbId': 82971, 'tmdbId': 85}, {'movieId': 1291, 'title': 'Indiana Jones and the Last Crusade (1989)', 'imdbId': 97576, 'tmdbId': 89}]]"
31,"['Action,Adventure,Comedy,Fantasy,Romance']","[[{'movieId': 1197, 'title': 'Princess Bride, The (1987)', 'imdbId': 93779, 'tmdbId': 2493}]]"
32,"['Action,Adventure,Comedy,Fantasy,Romance']","[[{'movieId': 1197, 'title': 'Princess Bride, The (1987)', 'imdbId': 93779, 'tmdbId': 2493}]]"
33,"['Action,Adventure,Sci-Fi']","[[{'movieId': 1210, 'title': 'Star Wars: Episode VI - Return of the Jedi (1983)', 'imdbId': 86190, 'tmdbId': 1892}]]"
34,"['Action,Adventure,Thriller']","[[{'movieId': 10, 'title': 'GoldenEye (1995)', 'imdbId': 113189, 'tmdbId': 710}]]"
35,"['Adventure,Children,Fantasy']","[[{'movieId': 60, 'title': 'Indian in the Cupboard, The (1995)', 'imdbId': 113419, 'tmdbId': 11359}]]"
36,"['Action,Adventure,Drama,War']","[[{'movieId': 1262, 'title': 'Great Escape, The (1963)', 'imdbId': 57115, 'tmdbId': 5925}]]"
37,"['Action,Adventure,Sci-Fi']","[[{'movieId': 316, 'title': 'Stargate (1994)', 'imdbId': 111282, 'tmdbId': 2164}]]"
38,"['Action,Drama,Romance,War']","[[{'movieId': 151, 'title': 'Rob Roy (1995)', 'imdbId': 114287, 'tmdbId': 11780}]]"
39,"['Action,Adventure,Animation,Drama,Fantasy']","[[{'movieId': 3000, 'title': 'Princess Mononoke (Mononoke-hime) (1997)', 'imdbId': 119698, 'tmdbId': 128}]]"
40,"['Action,Drama,Western']","[[{'movieId': 553, 'title': 'Tombstone (1993)', 'imdbId': 108358, 'tmdbId': 11969}]]"
41,"['Action,Drama,Thriller']","[[{'movieId': 7438, 'title': 'Kill Bill: Vol. 2 (2004)', 'imdbId': 378194, 'tmdbId': 393}]]"
42,"['Action,Adventure,Comedy,Fantasy,Romance']","[[{'movieId': 1197, 'title': 'Princess Bride, The (1987)', 'imdbId': 93779, 'tmdbId': 2493}]]"
43,"['Action,Adventure,Animation,Horror,Sci-Fi']","[[{'movieId': 610, 'title': 'Heavy Metal (1981)', 'imdbId': 82509, 'tmdbId': 11827}]]"
44,"['Action,Adventure,Comedy,Crime']","[[{'movieId': 112, 'title': 'Rumble in the Bronx (Hont faan kui) (1995)', 'imdbId': 113326, 'tmdbId': 33542}]]"
45,"['Action,Adventure,Comedy,Drama,War']","[[{'movieId': 2890, 'title': 'Three Kings (1999)', 'imdbId': 120188, 'tmdbId': 6415}]]"
46,"['Action,Adventure,Comedy,Romance,Thriller']","[[{'movieId': 380, 'title': 'True Lies (1994)', 'imdbId': 111503, 'tmdbId': 36955}]]"
47,"['Drama,Sci-Fi']","[[{'movieId': 112804, 'title': 'I Origins (2014)', 'imdbId': 2884206, 'tmdbId': 244267}]]"
48,"['Action,Comedy,Sci-Fi']","[[{'movieId': 1580, 'title': 'Men in Black (a.k.a. MIB) (1997)', 'imdbId': 119654, 'tmdbId': 607}]]"
49,"['Action,Adventure,Horror,Sci-Fi']","[[{'movieId': 1200, 'title': 'Aliens (1986)', 'imdbId': 90605, 'tmdbId': 679}]]"
50,"['Action,Adventure,Animation,Comedy,Crime,Mystery']","[[{'movieId': 8253, 'title': 'Lupin III: The Castle Of Cagliostro (Rupan sansei: Kariosutoro no shiro) (1979)', 'imdbId': 79833, 'tmdbId': 15371}]]"
51,"['Action,Adventure,Comedy,Crime,Fantasy']","[[{'movieId': 60074, 'title': 'Hancock (2008)', 'imdbId': 448157, 'tmdbId': 8960}]]"
52,"['Action,Adventure,Animation,Children']","[[{'movieId': 95167, 'title': 'Brave (2012)', 'imdbId': 1217209, 'tmdbId': 62177}]]"
53,"['Action,Adventure']","[[{'movieId': 1049, 'title': 'Ghost and the Darkness, The (1996)', 'imdbId': 116409, 'tmdbId': 10586}]]"
54,"['Comedy,Drama,Romance,War']","[[{'movieId': 356, 'title': 'Forrest Gump (1994)', 'imdbId': 109830, 'tmdbId': 13}]]"
55,"['Action,Crime,Drama,Thriller']","[[{'movieId': 3275, 'title': 'Boondock Saints, The (2000)', 'imdbId': 144117, 'tmdbId': 8374}]]"
56,"['Action,Adventure,Sci-Fi,Thriller']","[[{'movieId': 480, 'title': 'Jurassic Park (1993)', 'imdbId': 107290, 'tmdbId': 329}]]"
57,"['Action,Adventure,Comedy,Fantasy,Romance']","[[{'movieId': 1197, 'title': 'Princess Bride, The (1987)', 'imdbId': 93779, 'tmdbId': 2493}]]"
58,"['Action,Adventure,Mystery,Thriller']","[[{'movieId': 648, 'title': 'Mission: Impossible (1996)', 'imdbId': 117060, 'tmdbId': 954}]]"
59,"['Action,Adventure,Mystery,Thriller']","[[{'movieId': 648, 'title': 'Mission: Impossible (1996)', 'imdbId': 117060, 'tmdbId': 954}]]"
60,"['Action,Crime,Drama,IMAX']","[[{'movieId': 58559, 'title': 'Dark Knight, The (2008)', 'imdbId': 468569, 'tmdbId': 155}]]"
61,"['Action,Western']","[[{'movieId': 1304, 'title': 'Butch Cassidy and the Sundance Kid (1969)', 'imdbId': 64115, 'tmdbId': 642}]]"
62,"['Action,Adventure,Comedy,Crime,Mystery,Thriller']","[[{'movieId': 91542, 'title': 'Sherlock Holmes: A Game of Shadows (2011)', 'imdbId': 1515091, 'tmdbId': 58574}]]"
63,"['Action,Adventure,Animation,Children,Comedy,Fantasy']","[[{'movieId': 108932, 'title': 'The Lego Movie (2014)', 'imdbId': 1490017, 'tmdbId': 137106}]]"
64,"['Action,Adventure,Animation,Comedy']","[[{'movieId': 8917, 'title': 'Team America: World Police (2004)', 'imdbId': 372588, 'tmdbId': 3989}]]"
65,"['Action,Adventure,Drama']","[[{'movieId': 55247, 'title': 'Into the Wild (2007)', 'imdbId': 758758, 'tmdbId': 5915}]]"
66,"['Action,Adventure,Drama,Fantasy']","[[{'movieId': 7153, 'title': 'Lord of the Rings: The Return of the King, The (2003)', 'imdbId': 167260, 'tmdbId': 122}]]"
67,"['Action,Adventure,Comedy,Sci-Fi']","[[{'movieId': 1527, 'title': 'Fifth Element, The (1997)', 'imdbId': 119116, 'tmdbId': 18}]]"
68,"['Action,Adventure,Comedy,Fantasy,Romance']","[[{'movieId': 1197, 'title': 'Princess Bride, The (1987)', 'imdbId': 93779, 'tmdbId': 2493}]]"
69,"['Action,Drama,Western']","[[{'movieId': 553, 'title': 'Tombstone (1993)', 'imdbId': 108358, 'tmdbId': 11969}]]"
70,"['Action,Adventure,Sci-Fi']","[[{'movieId': 1210, 'title': 'Star Wars: Episode VI - Return of the Jedi (1983)', 'imdbId': 86190, 'tmdbId': 1892}]]"
71,"['Action,Adventure,Drama']","[[{'movieId': 86, 'title': 'White Squall (1996)', 'imdbId': 118158, 'tmdbId': 10534}]]"
72,"['Action,Sci-Fi,Thriller']","[[{'movieId': 2571, 'title': 'Matrix, The (1999)', 'imdbId': 133093, 'tmdbId': 603}]]"
73,"['Action,Adventure,Comedy,Crime,Mystery,Thriller']","[[{'movieId': 91542, 'title': 'Sherlock Holmes: A Game of Shadows (2011)', 'imdbId': 1515091, 'tmdbId': 58574}]]"
74,"['Action,Adventure,Crime,Drama,Thriller']","[[{'movieId': 6016, 'title': 'City of God (Cidade de Deus) (2002)', 'imdbId': 317248, 'tmdbId': 598}]]"
75,"['Action,Drama,Thriller,Western']","[[{'movieId': 3681, 'title': 'For a Few Dollars More (Per qualche dollaro in più) (1965)', 'imdbId': 59578, 'tmdbId': 938}]]"
76,"['Adventure,Comedy,Fantasy']","[[{'movieId': 1136, 'title': 'Monty Python and the Holy Grail (1975)', 'imdbId': 71853, 'tmdbId': 762}]]"
77,"['Action,Adventure']","[[{'movieId': 1198, 'title': 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'imdbId': 82971, 'tmdbId': 85}]]"
79,"['Action,Adventure']","[[{'movieId': 1291, 'title': 'Indiana Jones and the Last Crusade (1989)', 'imdbId': 97576, 'tmdbId': 89}]]"
80,"['Action,Adventure,Drama,Thriller']","[[{'movieId': 5064, 'title': 'The Count of Monte Cristo (2002)', 'imdbId': 245844, 'tmdbId': 11362}]]"
81,"['Action,Sci-Fi']","[[{'movieId': 589, 'title': 'Terminator 2: Judgment Day (1991)', 'imdbId': 103064, 'tmdbId': 280}]]"
82,"['Action,Adventure']","[[{'movieId': 1198, 'title': 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'imdbId': 82971, 'tmdbId': 85}, {'movieId': 1291, 'title': 'Indiana Jones and the Last Crusade (1989)', 'imdbId': 97576, 'tmdbId': 89}, {'movieId': 4367, 'title': 'Lara Croft: Tomb Raider (2001)', 'imdbId': 146316, 'tmdbId': 1995}]]"
83,"['Action,Adventure,Crime,Drama,Thriller']","[[{'movieId': 6016, 'title': 'City of God (Cidade de Deus) (2002)', 'imdbId': 317248, 'tmdbId': 598}]]"
84,"['Action,Drama,War']","[[{'movieId': 1208, 'title': 'Apocalypse Now (1979)', 'imdbId': 78788, 'tmdbId': 28}]]"
85,"['Adventure,Drama']","[[{'movieId': 53, 'title': 'Lamerica (1994)', 'imdbId': 110299, 'tmdbId': 49133}]]"
86,"['Action,Adventure,Comedy,Romance']","[[{'movieId': 33679, 'title': 'Mr. & Mrs. Smith (2005)', 'imdbId': 356910, 'tmdbId': 787}]]"
87,"['Adventure,Animation,Fantasy']","[[{'movieId': 5618, 'title': 'Spirited Away (Sen to Chihiro no kamikakushi) (2001)', 'imdbId': 245429, 'tmdbId': 129}]]"
88,"['Action,Adventure,Drama,Fantasy']","[[{'movieId': 7153, 'title': 'Lord of the Rings: The Return of the King, The (2003)', 'imdbId': 167260, 'tmdbId': 122}]]"
89,"['Action,Adventure,Animation,Children,Comedy,Fantasy']","[[{'movieId': 108932, 'title': 'The Lego Movie (2014)', 'imdbId': 1490017, 'tmdbId': 137106}]]"
90,"['Action,Adventure,Sci-Fi']","[[{'movieId': 260, 'title': 'Star Wars: Episode IV - A New Hope (1977)', 'imdbId': 76759, 'tmdbId': 11}]]"
91,"['Action,Adventure,Animation,Fantasy']","[[{'movieId': 6857, 'title': 'Ninja Scroll (Jûbei ninpûchô) (1995)', 'imdbId': 107692, 'tmdbId': 14282}]]"
92,"['Adventure,Children,Comedy,Musical']","[[{'movieId': 107, 'title': 'Muppet Treasure Island (1996)', 'imdbId': 117110, 'tmdbId': 10874}]]"
93,"['Action,Adventure,Comedy,Romance']","[[{'movieId': 552, 'title': 'Three Musketeers, The (1993)', 'imdbId': 108333, 'tmdbId': 10057}]]"
94,"['Action,Drama,War']","[[{'movieId': 110, 'title': 'Braveheart (1995)', 'imdbId': 112573, 'tmdbId': 197}]]"
95,"['Action,Adventure,Animation,Sci-Fi']","[[{'movieId': 1274, 'title': 'Akira (1988)', 'imdbId': 94625, 'tmdbId': 149}]]"
96,"['Action,Adventure,Horror,Sci-Fi']","[[{'movieId': 1200, 'title': 'Aliens (1986)', 'imdbId': 90605, 'tmdbId': 679}]]"
97,"['Action,Adventure,Comedy,Thriller']","[[{'movieId': 4270, 'title': 'Mummy Returns, The (2001)', 'imdbId': 209163, 'tmdbId': 1734}]]"
98,"['Action,Adventure,Comedy,Fantasy,Romance']","[[{'movieId': 1197, 'title': 'Princess Bride, The (1987)', 'imdbId': 93779, 'tmdbId': 2493}]]"
99,"['Action,Adventure,Comedy,Crime']","[[{'movieId': 153, 'title': 'Batman Forever (1995)', 'imdbId': 112462, 'tmdbId': 414}]]"
100,"['Action,Romance']","[[{'movieId': 1101, 'title': 'Top Gun (1986)', 'imdbId': 92099, 'tmdbId': 744}]]"
101,"['Action,Crime,Drama,Thriller']","[[{'movieId': 2959, 'title': 'Fight Club (1999)', 'imdbId': 137523, 'tmdbId': 550}]]"
102,"['Comedy,Crime,Drama,Thriller']","[[{'movieId': 296, 'title': 'Pulp Fiction (1994)', 'imdbId': 110912, 'tmdbId': 680}]]"
103,"['Action,Adventure,Crime,Drama,Thriller']","[[{'movieId': 6016, 'title': 'City of God (Cidade de Deus) (2002)', 'imdbId': 317248, 'tmdbId': 598}]]"
104,"['Animation,Children,Comedy,Crime']","[[{'movieId': 1148, 'title': 'Wallace & Gromit: The Wrong Trousers (1993)', 'imdbId': 108598, 'tmdbId': 531}]]"
105,"['Action,Adventure,Crime,Drama,Thriller']","[[{'movieId': 6016, 'title': 'City of God (Cidade de Deus) (2002)', 'imdbId': 317248, 'tmdbId': 598}]]"
106,"['Action,Adventure,Comedy,Fantasy']","[[{'movieId': 6539, 'title': 'Pirates of the Caribbean: The Curse of the Black Pearl (2003)', 'imdbId': 325980, 'tmdbId': 22}, {'movieId': 53125, 'title': ""Pirates of the Caribbean: At World's End (2007)"", 'imdbId': 449088, 'tmdbId': 285}]]"
107,"['Action,Drama,War']","[[{'movieId': 110, 'title': 'Braveheart (1995)', 'imdbId': 112573, 'tmdbId': 197}]]"
108,"['Action,Crime,Mystery,Sci-Fi,Thriller']","[[{'movieId': 5445, 'title': 'Minority Report (2002)', 'imdbId': 181689, 'tmdbId': 180}]]"
109,"['Action,Drama,War']","[[{'movieId': 110, 'title': 'Braveheart (1995)', 'imdbId': 112573, 'tmdbId': 197}]]"
110,['Documentary'],"[[{'movieId': 7096, 'title': 'Rivers and Tides (2001)', 'imdbId': 307385, 'tmdbId': 30140}]]"
111,"['Action,Adventure,Comedy,Crime']","[[{'movieId': 119145, 'title': 'Kingsman: The Secret Service (2015)', 'imdbId': 2802144, 'tmdbId': 207703}]]"
112,"['Action,Adventure']","[[{'movieId': 1198, 'title': 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'imdbId': 82971, 'tmdbId': 85}]]"
113,"['Action,Mystery,Thriller']","[[{'movieId': 2475, 'title': '52 Pick-Up (1986)', 'imdbId': 90567, 'tmdbId': 18588}]]"
114,"['Comedy,Horror']","[[{'movieId': 141718, 'title': 'Deathgasm (2015)', 'imdbId': 3705412, 'tmdbId': 323373}]]"
115,"['Action,Adventure,Drama']","[[{'movieId': 3578, 'title': 'Gladiator (2000)', 'imdbId': 172495, 'tmdbId': 98}]]"
116,"['Action,Comedy,Crime,Fantasy']","[[{'movieId': 367, 'title': 'Mask, The (1994)', 'imdbId': 110475, 'tmdbId': 854}]]"
117,"['Action,Drama,War']","[[{'movieId': 110, 'title': 'Braveheart (1995)', 'imdbId': 112573, 'tmdbId': 197}]]"
119,"['Action,Adventure,Crime,Thriller']","[[{'movieId': 170, 'title': 'Hackers (1995)', 'imdbId': 113243, 'tmdbId': 10428}]]"
120,"['Action,Adventure,Sci-Fi']","[[{'movieId': 260, 'title': 'Star Wars: Episode IV - A New Hope (1977)', 'imdbId': 76759, 'tmdbId': 11}, {'movieId': 1210, 'title': 'Star Wars: Episode VI - Return of the Jedi (1983)', 'imdbId': 86190, 'tmdbId': 1892}]]"
121,"['Crime,Drama']","[[{'movieId': 16, 'title': 'Casino (1995)', 'imdbId': 112641, 'tmdbId': 524}, {'movieId': 318, 'title': 'Shawshank Redemption, The (1994)', 'imdbId': 111161, 'tmdbId': 278}]]"
122,"['Action,Adventure,Animation,Comedy']","[[{'movieId': 8917, 'title': 'Team America: World Police (2004)', 'imdbId': 372588, 'tmdbId': 3989}]]"
123,"['Action,Adventure,Comedy,Crime,Mystery,Thriller']","[[{'movieId': 91542, 'title': 'Sherlock Holmes: A Game of Shadows (2011)', 'imdbId': 1515091, 'tmdbId': 58574}]]"
124,"['Adventure,Animation,Children,Comedy']","[[{'movieId': 6377, 'title': 'Finding Nemo (2003)', 'imdbId': 266543, 'tmdbId': 12}]]"
125,"['Action,Crime,Drama,Thriller']","[[{'movieId': 2959, 'title': 'Fight Club (1999)', 'imdbId': 137523, 'tmdbId': 550}]]"
126,"['Action,Adventure,Comedy,Romance,Thriller']","[[{'movieId': 380, 'title': 'True Lies (1994)', 'imdbId': 111503, 'tmdbId': 36955}]]"
127,"['Comedy,Drama,War']","[[{'movieId': 5060, 'title': 'M*A*S*H (a.k.a. MASH) (1970)', 'imdbId': 66026, 'tmdbId': 651}]]"
128,"['Action,Adventure,Mystery,Romance,Thriller']","[[{'movieId': 908, 'title': 'North by Northwest (1959)', 'imdbId': 53125, 'tmdbId': 213}]]"
129,"['Action,Adventure,Comedy,Fantasy,Romance']","[[{'movieId': 1197, 'title': 'Princess Bride, The (1987)', 'imdbId': 93779, 'tmdbId': 2493}]]"
130,"['Action,Drama,Sci-Fi,Thriller']","[[{'movieId': 292, 'title': 'Outbreak (1995)', 'imdbId': 114069, 'tmdbId': 6950}]]"
131,"['Action,Adventure,Crime,Drama,Thriller']","[[{'movieId': 6016, 'title': 'City of God (Cidade de Deus) (2002)', 'imdbId': 317248, 'tmdbId': 598}]]"
132,"['Action,Adventure,Comedy,Sci-Fi']","[[{'movieId': 1527, 'title': 'Fifth Element, The (1997)', 'imdbId': 119116, 'tmdbId': 18}]]"
133,"['Comedy,Drama,Romance,War']","[[{'movieId': 356, 'title': 'Forrest Gump (1994)', 'imdbId': 109830, 'tmdbId': 13}]]"
134,"['Action,Drama,War']","[[{'movieId': 110, 'title': 'Braveheart (1995)', 'imdbId': 112573, 'tmdbId': 197}]]"
135,"['Action,Adventure,Comedy,Fantasy']","[[{'movieId': 485, 'title': 'Last Action Hero (1993)', 'imdbId': 107362, 'tmdbId': 9593}, {'movieId': 3740, 'title': 'Big Trouble in Little China (1986)', 'imdbId': 90728, 'tmdbId': 6978}]]"
136,"['Action,Adventure,Romance']","[[{'movieId': 15, 'title': 'Cutthroat Island (1995)', 'imdbId': 112760, 'tmdbId': 1408}]]"
137,"['Action,Adventure,Drama,Fantasy']","[[{'movieId': 7153, 'title': 'Lord of the Rings: The Return of the King, The (2003)', 'imdbId': 167260, 'tmdbId': 122}]]"
138,"['Action,Animation,Children,Comedy,IMAX']","[[{'movieId': 59784, 'title': 'Kung Fu Panda (2008)', 'imdbId': 441773, 'tmdbId': 9502}]]"
139,"['Action,Adventure,Animation,Children,Comedy']","[[{'movieId': 8961, 'title': 'Incredibles, The (2004)', 'imdbId': 317705, 'tmdbId': 9806}]]"
140,"['Action,Adventure,Drama,Fantasy']","[[{'movieId': 7153, 'title': 'Lord of the Rings: The Return of the King, The (2003)', 'imdbId': 167260, 'tmdbId': 122}]]"
141,"['Action,Adventure,Drama']","[[{'movieId': 3578, 'title': 'Gladiator (2000)', 'imdbId': 172495, 'tmdbId': 98}]]"
142,"['Adventure,Animation,Children,Comedy,Musical']","[[{'movieId': 588, 'title': 'Aladdin (1992)', 'imdbId': 103639, 'tmdbId': 812}]]"
143,"['Adventure,Animation,Children,Comedy,Fantasy,Romance']","[[{'movieId': 4306, 'title': 'Shrek (2001)', 'imdbId': 126029, 'tmdbId': 808}]]"
144,"['Action,Adventure,Comedy,Fantasy']","[[{'movieId': 6539, 'title': 'Pirates of the Caribbean: The Curse of the Black Pearl (2003)', 'imdbId': 325980, 'tmdbId': 22}]]"
145,"['Adventure,Animation,Children,Comedy,Fantasy']","[[{'movieId': 1, 'title': 'Toy Story (1995)', 'imdbId': 114709, 'tmdbId': 862}]]"
146,"['Drama,Romance']","[[{'movieId': 30803, 'title': '3-Iron (Bin-jip) (2004)', 'imdbId': 423866, 'tmdbId': 1280}]]"
147,"['Adventure,Comedy,Sci-Fi']","[[{'movieId': 1376, 'title': 'Star Trek IV: The Voyage Home (1986)', 'imdbId': 92007, 'tmdbId': 168}]]"
148,"['Animation,Comedy,Romance']","[[{'movieId': 98491, 'title': 'Paperman (2012)', 'imdbId': 2388725, 'tmdbId': 140420}]]"
149,"['Action,Adventure,Animation,Horror,Sci-Fi']","[[{'movieId': 610, 'title': 'Heavy Metal (1981)', 'imdbId': 82509, 'tmdbId': 11827}]]"
150,"['Mystery,Sci-Fi,Thriller']","[[{'movieId': 32, 'title': 'Twelve Monkeys (a.k.a. 12 Monkeys) (1995)', 'imdbId': 114746, 'tmdbId': 63}]]"
151,"['Adventure,Animation,Children,Comedy,Fantasy']","[[{'movieId': 1, 'title': 'Toy Story (1995)', 'imdbId': 114709, 'tmdbId': 862}]]"
152,"['Action,Crime,Drama,Thriller']","[[{'movieId': 2959, 'title': 'Fight Club (1999)', 'imdbId': 137523, 'tmdbId': 550}]]"
153,"['Action,Adventure,Drama']","[[{'movieId': 55247, 'title': 'Into the Wild (2007)', 'imdbId': 758758, 'tmdbId': 5915}]]"
154,"['Action,Adventure,Animation,Children,Comedy,Fantasy']","[[{'movieId': 108932, 'title': 'The Lego Movie (2014)', 'imdbId': 1490017, 'tmdbId': 137106}]]"
155,"['Adventure,Animation,Children']","[[{'movieId': 3615, 'title': 'Dinosaur (2000)', 'imdbId': 130623, 'tmdbId': 10567}]]"
